full_text,value
"['tadi', 'apa', 'kata', 'eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'soal', 'nilai', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['pasal', 'dudung', 'jadi', 'ksad', 'jenderal', 'bintang', 'sebut', 'nilai', 'butuh', 'rumah', 'dinas', 'prajurit', 'tni', 'lebih', 'baik', 'prabowo', 'jabat', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['tayang', 'youtube', 'deddy', 'corbuzier', 'dudung', 'abdurachman', 'ban', 'nyata', 'anies', 'baswedan', 'kait', 'paruh', 'prajurit', 'tni', 'tak', 'punya', 'rumah', 'dinas', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'beri', 'nilai', 'banding', 'balik', 'dua', 'capres', 'sebut', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'buka', 'suara', 'beri', 'nilai', 'buat', 'menteri', 'tahan', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['skakmat', 'anies', 'baswedan', 'eks', 'ksad', 'dudung', 'abdurachman', 'nilai', 'prabowo', 'subianto', 'persen', 'rumah', 'tni', 'bagus', 'httpstcokwrlurozay', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['coralzha', 'narxi', 'qancha', 'kotni', 'ayting', 'hammasini', 'sotib', 'olamannnn']",HOAX
"['mantan', 'napi', 'koruptor', 'jgn', 'pilih', 'divhumas', 'polri', 'ccicpolri', 'puspen', 'tni', 'bnptri', 'jokowi', 'mohmahfudmd', 'prabowo', 'edo', 'binofficial', 'ri', 'listyosigitp', 'kompascom', 'kompastv', 'mediaindonesia', 'cnnindonesia', 'netmediatama', 'tvonenews', 'transtv', 'corp']",HOAX
"['berita', 'foto', 'wakil', 'personel', 'satu', 'mabes', 'tni', 'hadir', 'konsultasi', 'publik', 'rencana', 'bangun', 'jalan', 'baru', 'tuju', 'kawasan', 'mabes', 'tni', 'httpstcoddboqwqw', 'httpstcoopraiswhjd']",HOAX
"['nal', 'kabuni', 'puspen', 'tni', 'tniau', 'tniad', 'tnial', 'ini', 'apaa', 'lagi', 'omm', 'divhumas', 'polri', 'kemkominfo', 'dicidukk', 'ajaa', 'ini', 'orang', 'orang', 'buat', 'ricuh']",HOAX
"['komandan', 'korem', 'gamas', 'provinsi', 'bengkulu', 'brigjen', 'tni', 'rachmad', 'zulkarnaen', 'ingat', 'prajurit', 'junjung', 'tinggi', 'netralitas', 'selenggara', 'pilih', 'umum', 'serentak', 'httpstcolytujer']",HOAX
"['pak', 'mahfud', 'banjir', 'order', 'dwi', 'fungsi', 'tni', 'beberapa', 'jenderal', 'cerdas', 'gak', 'rubes', 'mau', 'punya', 'partai', 'politik', 'httpstcoeunfxrywj']",HOAX
"['cakap', 'amp', 'tmn', 'kelas', 'siang', 'itu', 'kan', 'culik', 'aktivis', 'tmn', 'normal', 'ajasih', 'kan', 'tni', 'aksi', 'kamis', 'joke', 'you']",HOAX
"['nal', 'kabuni', 'puspen', 'tni', 'tniau', 'tniad', 'tnial', 'wow', 'bahaya', 'tah', 'kamu', 'komentar', 'itu', 'kamu', 'kena', 'loh', 'sama', 'patroli', 'cyber', 'awas', 'hati', 'hati', 'kawan']",HOAX
"['luar', 'biasa', 'letnan', 'tni', 'jebol', 'aau', 'terbang', 'elang', 'supersonik', 'harga', 'miliar', 'sendiri', 'httpstcoyoaonlllqx']",HOAX
"['nordickvv', 'okluvj', 'addiems', 'narasi', 'linglung', 'tadi', 'maling', 'rampok', 'copet', 'tambah', 'mabok', 'bikin', 'rusuh', 'semua', 'lihat', 'cctv', 'cuma', 'elu', 'blon', 'sendiri', 'poin', 'elu', 'nangkep', 'tugas', 'polisi', 'bukan', 'tni', 'demo', 'hasil', 'pilpres', 'tni', 'rangkul', 'bukan', 'gebukin']",HOAX
"['pierreicon', 'tokiemien', 'vivacoid', 'tni', 'taruh', 'jiwa', 'raga', 'buat', 'negara', 'masa', 'sejahtera', 'sama', 'jungjungannya', 'perhatiin', 'saya', 'nangkep', 'gtu', 'maaf', 'klo', 'salah', 'hehe']",HOAX
"['chavesz', 'pak', 'anies', 'bela', 'juang', 'sejahtera', 'tni', 'debat', 'capres', 'tambah', 'simpati', 'tni', 'pak', 'anies', 'sadar', 'apa', 'sampai', 'benar', 'ada', 'pak', 'anies', 'bukan', 'tni', 'bela', 'hakhak', 'prajurit']",HOAX
